Alabama,667346361.3400012
Alaska,108594348.62000015
Arizona,1246118343.589992
Arkansas,339785706.8100007
California,8004575486.939929
Colorado,908800937.4600068
Connecticut,1245733707.4199946
DC,258174354.02999842
Delaware,175553662.96000016
Florida,2820646171.46001
Georgia,1097466653.4500146
Hawaii,808768930.2699986
Idaho,188502405.72000012
Illinois,1638723738.100018
Indiana,1487461560.3200123
Iowa,368033654.8499978
Kansas,255927733.7399994
Kentucky,1167811439.3800004
Louisiana,716840515.4200143
Maine,223669686.94999942
Maryland,1099590382.2899961
Massachusetts,1304455231.7199922
Michigan,1947014785.4400158
Minnesota,887887637.5999945
Mississippi,479419549.370002
Missouri,1205744628.800001
Montana,158998498.20000035
Nebraska,168680631.88999936
Nevada,443927719.35999775
New Hampshire,88469531.11999968
New Jersey,1694990095.8199813
New Mexico,370765680.8400006
New York,6163777050.0501
North Carolina,1736403998.8400023
North Dakota,55957884.469999954
Ohio,3046825428.4400225
Oklahoma,471039807.85999787
Oregon,649500258.7199965
Pennsylvania,2771235126.659977
Rhode Island,205770998.33999887
South Carolina,347777584.8499987
South Dakota,119961073.38000047
Tennessee,1079084462.2199957
Texas,3338224073.010018
Utah,184204291.7699998
Vermont,163009798.93000022
Virginia,1031791412.6799946
Washington,1061569943.7700065
West Virginia,568005803.9900061
Wisconsin,1119974188.559993
Wyoming,34157622.120000094
XX,62016683226.54029
