Alabama,513629813.51000315
Alaska,139435834.8199997
Arizona,613635308.6299989
Arkansas,305946014.9500011
California,3790730201.3900237
Colorado,375253467.52999973
Connecticut,676378235.3400047
DC,102184172.50999989
Delaware,168754681.79999912
Florida,1986922361.6900158
Georgia,809247343.0200063
Hawaii,176287449.07000017
Idaho,133765538.29000023
Illinois,941992440.3599943
Indiana,865458517.2400018
Iowa,245469430.40999871
Kansas,70014338.39000009
Kentucky,516244661.3100028
Louisiana,707613175.4300004
Maine,193818201.26999965
Maryland,604344818.3699948
Massachusetts,804264506.7299976
Michigan,1047098574.1700099
Minnesota,628448211.7000052
Mississippi,371380769.2499978
Missouri,1021940854.2100061
Montana,70856720.55999969
Nebraska,156869717.52000076
Nevada,142424758.38
New Hampshire,100669883.52999981
New Jersey,783799337.1799979
New Mexico,187276667.03999904
New York,4173302524.7600274
North Carolina,1261816452.539996
North Dakota,31027591.829999965
Ohio,1594020157.4799933
Oklahoma,425396439.32999825
Oregon,321832434.3600026
Pennsylvania,1621688302.6700032
Rhode Island,83541935.22000004
South Carolina,397000057.7800029
South Dakota,54002091.16999996
Tennessee,763195787.4399962
Texas,2559599334.720005
Utah,154296687.2500003
Vermont,119737310.73000012
Virginia,1122492427.5899875
Washington,361782854.0800017
West Virginia,325531687.1599996
Wisconsin,718892490.0799985
Wyoming,29391887.18000003
XX,37940450109.63068
