Alabama,678736778.9299966
Alaska,137516860.2200006
Arizona,1121780420.1900005
Arkansas,365679482.45000106
California,7160615276.530035
Colorado,905023576.2300024
Connecticut,1216402725.9500093
DC,285846499.19
Delaware,2963721.0400000014
Florida,2941873940.979965
Georgia,1143579477.730004
Hawaii,155041767.87
Idaho,191983110.9199988
Illinois,1792826066.2900138
Indiana,1388079005.81999
Iowa,294953349.40000147
Kansas,325677705.25000006
Kentucky,1133653768.9900084
Louisiana,1046648185.5800068
Maine,222087181.24999964
Maryland,1120350994.6600173
Massachusetts,1378799194.439992
Michigan,2064807044.1300025
Minnesota,896218657.3899963
Mississippi,440023254.2100032
Missouri,1228982994.7099946
Montana,208975938.9600004
Nebraska,159142116.77999938
Nevada,456697682.6499945
New Hampshire,95271017.50000001
New Jersey,1309826677.989994
New Mexico,413540149.14999825
New York,6121178965.489987
North Carolina,1797256481.3599997
North Dakota,51690658.21999997
Ohio,3193297923.240051
Oklahoma,502150050.28999937
Oregon,671127534.7699982
Pennsylvania,2933542191.0300145
Rhode Island,218780584.70000067
South Carolina,483387505.1399997
South Dakota,101974785.51999988
Tennessee,1028932449.0599989
Texas,3372890023.179969
Utah,189833295.59999913
Vermont,161780799.07999918
Virginia,906521109.319999
Washington,1108756187.889995
West Virginia,591473862.4899995
Wisconsin,1169644615.8699982
Wyoming,36247448.099999964
XX,61826407220.64023
